comment,toxic,threat,insult,discrimination,clean_comment,tokens
"""

 The video is available from YouTube under the title """"1939 German-Soviet troop parade in Brest Litovsk"""" In YouTube the video clip can be blown up to full-screen size. Runtime:02:14. Original commentary in German would require translation. There's also another video clip in YouTube called Nazis and Soviets in occupied Poland in 1939 with still photographs from the invasion. Runtime 02:42. It has a fairly good resolution which would allow for a series of screen-shots to be uploaded to Commons.  talk """,0,0,0,0,"

 the video is available from youtube under the title 1939 germansoviet troop parade in brest litovsk in youtube the video clip can be blown up to fullscreen size runtime0214 original commentary in german would require translation theres also another video clip in youtube called nazis and soviets in occupied poland in 1939 with still photographs from the invasion runtime 0242 it has a fairly good resolution which would allow for a series of screenshots to be uploaded to commons  talk ","['video', 'available', 'youtube', 'title', '1939', 'germansoviet', 'troop', 'parade', 'brest', 'litovsk', 'youtube', 'video', 'clip', 'blown', 'fullscreen', 'size', 'runtime0214', 'original', 'commentary', 'german', 'require', 'translation', 'theres', 'video', 'clip', 'youtube', 'called', 'nazis', 'soviets', 'occupied', 'poland', '1939', 'photographs', 'invasion', 'runtime', '0242', 'fairly', 'good', 'resolution', 'allow', 'series', 'screenshots', 'uploaded', 'commons', 'talk']"
Is it true you go by the username: Someguy1221?,0,0,0,0,is it true you go by the username someguy1221,"['true', 'username', 'someguy1221']"
"I suggest to you, Dori , that you give it up,youre an idiot",1,0,1,0,i suggest to you dori  that you give it upyoure an idiot,"['suggest', 'dori', 'upyoure', 'idiot']"
"""

  Nazi Germany and """"real Germany"""" are identical, you ḟucking reṯard. 

You are a Nazi apologist. Go die in a fire.""",1,1,1,1,"

  nazi germany and real germany are identical you ḟucking reṯard 

you are a nazi apologist go die in a fire","['nazi', 'germany', 'real', 'germany', 'identical', 'ḟucking', 'reṯard', 'nazi', 'apologist', 'die']"
"With a view to seeking community consensus, I have raised an RfC at Wikipedia talk:Collaborations#RfC: Should the collaboration template appear on the article page .",0,0,0,0,with a view to seeking community consensus i have raised an rfc at wikipedia talkcollaborations should the collaboration template appear on the article page ,"['view', 'seeking', 'community', 'consensus', 'raised', 'rfc', 'wikipedia', 'talkcollaborations', 'collaboration', 'template', 'appear', 'article', 'page']"
That figures. You're the disruptive one with the POV problems who stalks other Wikipedians.,0,0,0,0,that figures youre the disruptive one with the pov problems who stalks other wikipedians,"['figures', 'youre', 'disruptive', 'pov', 'problems', 'stalks', 'wikipedians']"
charge $21 dollars an hour.,0,0,0,0,charge 21 dollars an hour,"['charge', '21', 'dollars', 'hour']"
"The cat is out of the bag. User ALR admitted his CONFLICT position, its on WIKI for all to see.",0,0,0,0,the cat is out of the bag user alr admitted his conflict position its on wiki for all to see,"['cat', 'bag', 'user', 'alr', 'admitted', 'conflict', 'position', 'wiki']"
"My Thoughts 

You're a fucking piece of shit! Die and Burn in hell!",1,1,1,0,"my thoughts 

youre a fucking piece of shit die and burn in hell","['thoughts', 'youre', 'fucking', 'piece', 'shit', 'die', 'burn', 'hell']"
"""

 fdsgdfgfd 

  why don't you die?   talk """,1,1,1,0,"

 fdsgdfgfd 

  why dont you die   talk ","['fdsgdfgfd', 'dont', 'die', 'talk']"
reason why you remvoed my stuff,0,0,0,0,reason why you remvoed my stuff,"['reason', 'remvoed', 'stuff']"
"""
Christians
What about all the idiot Christians who will come on this page and claim that this thing never existed and they'll just change the article to one big """"GOOOOOOOOOOOOOOD DIIIIIIIIIIID IIIIIIIIIIIIT""""? Fucking stupid Christians, they believe dinosaurs didn't exist and their whole ignorant faith should be wiped off the face of the earth.""",1,1,1,1,"
christians
what about all the idiot christians who will come on this page and claim that this thing never existed and theyll just change the article to one big gooooooooooooood diiiiiiiiiiid iiiiiiiiiiiit fucking stupid christians they believe dinosaurs didnt exist and their whole ignorant faith should be wiped off the face of the earth","['christians', 'idiot', 'christians', 'come', 'page', 'claim', 'thing', 'existed', 'theyll', 'just', 'change', 'article', 'big', 'gooooooooooooood', 'diiiiiiiiiiid', 'iiiiiiiiiiiit', 'fucking', 'stupid', 'christians', 'believe', 'dinosaurs', 'didnt', 'exist', 'ignorant', 'faith', 'wiped', 'face', 'earth']"
"""

 Thank you for wearing mesh underwear to bed last night 

You were amazing.  — Preceding unsigned comment added by  (talk • contribs)  """,0,0,0,0,"

 thank you for wearing mesh underwear to bed last night 

you were amazing   preceding unsigned comment added by  talk  contribs  ","['thank', 'wearing', 'mesh', 'underwear', 'bed', 'night', 'amazing', 'preceding', 'unsigned', 'comment', 'added', 'talk', 'contribs']"
"Hobo the Dodo, you have little authority, you are warned, you cannot stop TVHOSTED.",0,0,0,0,hobo the dodo you have little authority you are warned you cannot stop tvhosted,"['hobo', 'dodo', 'little', 'authority', 'warned', 'stop', 'tvhosted']"
No need for further discussion. Check recent edits that make the issue moot.,0,0,0,0,no need for further discussion check recent edits that make the issue moot,"['need', 'discussion', 'check', 'recent', 'edits', 'make', 'issue', 'moot']"
"BKBKBKBK
IM SOOO SORRY FOR SAYIN THOSE NAUGHTY WORDS TO YOU. I JUST HAVE ONE MORE THING TO SAY.

FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
O YEA DID I MENTION
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!

COLLEGE POINT MUTHAFCKER!!!!!!!!!!",1,0,1,1,"bkbkbkbk
im sooo sorry for sayin those naughty words to you i just have one more thing to say

fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
o yea did i mention
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wiggerfuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger
fuckk you asswhole bitch nigger cunt pussy ass dickface dipshit douchebag slut whore shitty wigger

college point muthafcker","['bkbkbkbk', 'im', 'sooo', 'sorry', 'sayin', 'naughty', 'words', 'just', 'thing', 'say', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'o', 'yea', 'did', 'mention', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wiggerfuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'fuckk', 'asswhole', 'bitch', 'nigger', 'cunt', 'pussy', 'ass', 'dickface', 'dipshit', 'douchebag', 'slut', 'whore', 'shitty', 'wigger', 'college', 'point', 'muthafcker']"
"WikiProject History of Science newsletter  Issue III - September 2007 

The September 2007 issue of the WikiProject History of Science newsletter has been published.  You're receiving this because you are a participant in the History of Science WikiProject.  You may read the newsletter or unsubscribe from this notification by following the link.  Yours in discourse",0,0,0,0,"wikiproject history of science newsletter  issue iii  september 2007 

the september 2007 issue of the wikiproject history of science newsletter has been published  youre receiving this because you are a participant in the history of science wikiproject  you may read the newsletter or unsubscribe from this notification by following the link  yours in discourse","['wikiproject', 'history', 'science', 'newsletter', 'issue', 'iii', 'september', '2007', 'september', '2007', 'issue', 'wikiproject', 'history', 'science', 'newsletter', 'published', 'youre', 'receiving', 'participant', 'history', 'science', 'wikiproject', 'read', 'newsletter', 'unsubscribe', 'notification', 'following', 'link', 'discourse']"
I will murder your pets and slash your tires.  You are such a giant assclown.  My name is Byran Mattison and I am a gay football player.  I play for the Ravens and I love dick.,1,1,1,0,i will murder your pets and slash your tires  you are such a giant assclown  my name is byran mattison and i am a gay football player  i play for the ravens and i love dick,"['murder', 'pets', 'slash', 'tires', 'giant', 'assclown', 'byran', 'mattison', 'gay', 'football', 'player', 'play', 'ravens', 'love', 'dick']"
"Wikipedia:Requests for adminship/Anonymous editor 

I have reverted your edits on this RfA because they were made after User:Durin]] closed it.  Feel free to add them to the talk page if you would still like your view to be seen, however as of now that page is meant to be an archive of sentiment at the time of closing and not continuously update.  グレン",0,0,0,0,"wikipediarequests for adminshipanonymous editor 

i have reverted your edits on this rfa because they were made after userdurin closed it  feel free to add them to the talk page if you would still like your view to be seen however as of now that page is meant to be an archive of sentiment at the time of closing and not continuously update  グレン","['wikipediarequests', 'adminshipanonymous', 'editor', 'reverted', 'edits', 'rfa', 'userdurin', 'closed', 'feel', 'free', 'add', 'talk', 'page', 'like', 'view', 'seen', 'page', 'meant', 'archive', 'sentiment', 'time', 'closing', 'continuously', 'update', 'グレン']"
"hello 

u sir are a gentleman and a scholar 159.242.66.76",0,0,0,0,"hello 

u sir are a gentleman and a scholar 1592426676","['hello', 'u', 'sir', 'gentleman', 'scholar', '1592426676']"
"If no-one beats me to it, I'll knock something up tonight.",0,1,0,0,if noone beats me to it ill knock something up tonight,"['beats', 'ill', 'knock', 'tonight']"
"No worries, I actually copy-edited two articles, but it seems when I added link on the blitz page, I added a typo so it didn't link across. Anyway, have a good day. Regards,",0,0,0,0,no worries i actually copyedited two articles but it seems when i added link on the blitz page i added a typo so it didnt link across anyway have a good day regards,"['worries', 'actually', 'copyedited', 'articles', 'added', 'link', 'blitz', 'page', 'added', 'typo', 'didnt', 'link', 'good', 'day', 'regards']"
"Jack and Jill 

Oh come on, just because you come from that ass-retarded Prince George and that your Dad also happens to be your sister, it's no reason to be such a fucking pain in the ass. Maybe you should move to Prince Rupert if you are that anal!  Ban me ass-hole, I am using a public IP in a Starbuck anyways.",1,0,1,0,"jack and jill 

oh come on just because you come from that assretarded prince george and that your dad also happens to be your sister its no reason to be such a fucking pain in the ass maybe you should move to prince rupert if you are that anal  ban me asshole i am using a public ip in a starbuck anyways","['jack', 'jill', 'oh', 'come', 'just', 'come', 'assretarded', 'prince', 'george', 'dad', 'happens', 'sister', 'reason', 'fucking', 'pain', 'ass', 'maybe', 'prince', 'rupert', 'anal', 'ban', 'asshole', 'using', 'public', 'ip', 'starbuck', 'anyways']"
"On another note,  FUCK U DR NICK YOU POOFY FUCK.",1,0,1,0,on another note  fuck u dr nick you poofy fuck,"['note', 'fuck', 'u', 'dr', 'nick', 'poofy', 'fuck']"
REDIRECT Talk:Antonio Gómez (jurist),0,0,0,0,redirect talkantonio gómez jurist,"['redirect', 'talkantonio', 'gómez', 'jurist']"
Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,1,0,1,0,suck it dick face from ip address 7119524134 name tyler age go fuck yourself nutsack,"['suck', 'dick', 'face', 'ip', 'address', '7119524134', 'tyler', 'age', 'fuck', 'nutsack']"
"YOU FUCKING NIGGER, HOW DARE YOU REVERT MY EDITS???? I'LL HUNT YOU DOWN AND RAPE YOU UNTIL YOU SHIT YOUR INTERNAL ORGANS OUT",1,1,1,1,you fucking nigger how dare you revert my edits ill hunt you down and rape you until you shit your internal organs out,"['fucking', 'nigger', 'dare', 'revert', 'edits', 'ill', 'hunt', 'rape', 'shit', 'internal', 'organs']"
"""

 Unwarranted reversion 

There is no justification for my grammatical correction at line 150 to have been completely reverted just because a reference was put in for Rose Cleveland. While I appreciate the added ref., it's no excuse to revert back to bad grammar structure. imacowboy """,0,0,0,0,"

 unwarranted reversion 

there is no justification for my grammatical correction at line 150 to have been completely reverted just because a reference was put in for rose cleveland while i appreciate the added ref its no excuse to revert back to bad grammar structure imacowboy ","['unwarranted', 'reversion', 'justification', 'grammatical', 'correction', 'line', '150', 'completely', 'reverted', 'just', 'reference', 'rose', 'cleveland', 'appreciate', 'added', 'ref', 'excuse', 'revert', 'bad', 'grammar', 'structure', 'imacowboy']"
"""
<- No, it's not wikilayering, just merely pointing out that you're being inconsistent. When it suits your purpose and argument you say """"what's in other articles doesn't matter"""" and when it suits your purpose and argument you say """"show me where this is done in other articles"""". You can't have it both ways. And please don't make barely-hidden uncivil comments like This is very simple, so if you can't follow it, then ask someone for help.  """,0,0,0,0,"
 no its not wikilayering just merely pointing out that youre being inconsistent when it suits your purpose and argument you say whats in other articles doesnt matter and when it suits your purpose and argument you say show me where this is done in other articles you cant have it both ways and please dont make barelyhidden uncivil comments like this is very simple so if you cant follow it then ask someone for help  ","['wikilayering', 'just', 'merely', 'pointing', 'youre', 'inconsistent', 'suits', 'purpose', 'argument', 'say', 'whats', 'articles', 'doesnt', 'matter', 'suits', 'purpose', 'argument', 'say', 'articles', 'ways', 'dont', 'make', 'barelyhidden', 'uncivil', 'comments', 'like', 'simple', 'follow', 'ask', 'help']"
"++this is for you==
If you deleted that article ( you know which article I'm talking about), them may you die you fukin bitch cocksusker!",1,1,1,0,"this is for you
if you deleted that article  you know which article im talking about them may you die you fukin bitch cocksusker","['deleted', 'article', 'know', 'article', 'im', 'talking', 'die', 'fukin', 'bitch', 'cocksusker']"
"RfC: Earlier it was reported that the name of the rape victim was said to be revealed as Jyoti Singh Pandey but later it was proven untrue. Can the unproven name be included in the article? 

Earlier it was reported the name of the rape victim was revealed on the request of her father but later it was reported that the father never gave permission nor revealed the name. Should this unproven or false name be included in the article?",0,0,0,0,"rfc earlier it was reported that the name of the rape victim was said to be revealed as jyoti singh pandey but later it was proven untrue can the unproven name be included in the article 

earlier it was reported the name of the rape victim was revealed on the request of her father but later it was reported that the father never gave permission nor revealed the name should this unproven or false name be included in the article","['rfc', 'earlier', 'reported', 'rape', 'victim', 'said', 'revealed', 'jyoti', 'singh', 'pandey', 'later', 'proven', 'untrue', 'unproven', 'included', 'article', 'earlier', 'reported', 'rape', 'victim', 'revealed', 'request', 'father', 'later', 'reported', 'father', 'gave', 'permission', 'revealed', 'unproven', 'false', 'included', 'article']"
"The puppet has been blocked, but the puppetmaster is still free, they will come back after the autoblock to cause more trouble.",0,0,0,0,the puppet has been blocked but the puppetmaster is still free they will come back after the autoblock to cause more trouble,"['puppet', 'blocked', 'puppetmaster', 'free', 'come', 'autoblock', 'cause', 'trouble']"
"Ok - I understand - the unsourced part is the dates.  Is it considered unsourced if I copied the dates directly off another Wikipedia page (the Solomon and Jehoshaphat pages to be exact)?  This is why I included the Wikipedia links on their names.  Or do you guys not want circular thinking?  Either is fine, just trying to crack the nut.
  Ckruschke",0,0,0,0,"ok  i understand  the unsourced part is the dates  is it considered unsourced if i copied the dates directly off another wikipedia page the solomon and jehoshaphat pages to be exact  this is why i included the wikipedia links on their names  or do you guys not want circular thinking  either is fine just trying to crack the nut
  ckruschke","['ok', 'understand', 'unsourced', 'dates', 'considered', 'unsourced', 'copied', 'dates', 'directly', 'wikipedia', 'page', 'solomon', 'jehoshaphat', 'pages', 'exact', 'included', 'wikipedia', 'links', 'names', 'guys', 'want', 'circular', 'thinking', 'fine', 'just', 'trying', 'crack', 'nut', 'ckruschke']"
