comment,toxic,threat,insult,discrimination
"BKBKBKBK
IM SOOO SORRY FOR SAYIN THOSE NAUGHTY WORDS TO YOU. I JUST HAVE ONE MORE THING TO SAY.

FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
O YEA DID I MENTION
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!

COLLEGE POINT MUTHAFCKER!!!!!!!!!!",1,0,1,1
"WikiProject History of Science newsletter  Issue III - September 2007 

The September 2007 issue of the WikiProject History of Science newsletter has been published.  You're receiving this because you are a participant in the History of Science WikiProject.  You may read the newsletter or unsubscribe from this notification by following the link.  Yours in discourse",0,0,0,0
I will murder your pets and slash your tires.  You are such a giant assclown.  My name is Byran Mattison and I am a gay football player.  I play for the Ravens and I love dick.,1,1,1,0
"Wikipedia:Requests for adminship/Anonymous editor 

I have reverted your edits on this RfA because they were made after User:Durin]] closed it.  Feel free to add them to the talk page if you would still like your view to be seen, however as of now that page is meant to be an archive of sentiment at the time of closing and not continuously update.  グレン",0,0,0,0
"hello 

u sir are a gentleman and a scholar 159.242.66.76",0,0,0,0
"If no-one beats me to it, I'll knock something up tonight.",0,1,0,0
"No worries, I actually copy-edited two articles, but it seems when I added link on the blitz page, I added a typo so it didn't link across. Anyway, have a good day. Regards,",0,0,0,0
"Jack and Jill 

Oh come on, just because you come from that ass-retarded Prince George and that your Dad also happens to be your sister, it's no reason to be such a fucking pain in the ass. Maybe you should move to Prince Rupert if you are that anal!  Ban me ass-hole, I am using a public IP in a Starbuck anyways.",1,0,1,0
"On another note,  FUCK U DR NICK YOU POOFY FUCK.",1,0,1,0
REDIRECT Talk:Antonio Gómez (jurist),0,0,0,0
Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,1,0,1,0
"YOU FUCKING NIGGER, HOW DARE YOU REVERT MY EDITS???? I'LL HUNT YOU DOWN AND RAPE YOU UNTIL YOU SHIT YOUR INTERNAL ORGANS OUT",1,1,1,1
"""

 Unwarranted reversion 

There is no justification for my grammatical correction at line 150 to have been completely reverted just because a reference was put in for Rose Cleveland. While I appreciate the added ref., it's no excuse to revert back to bad grammar structure. imacowboy """,0,0,0,0
"""
<- No, it's not wikilayering, just merely pointing out that you're being inconsistent. When it suits your purpose and argument you say """"what's in other articles doesn't matter"""" and when it suits your purpose and argument you say """"show me where this is done in other articles"""". You can't have it both ways. And please don't make barely-hidden uncivil comments like This is very simple, so if you can't follow it, then ask someone for help.  """,0,0,0,0
"++this is for you==
If you deleted that article ( you know which article I'm talking about), them may you die you fukin bitch cocksusker!",1,1,1,0
"RfC: Earlier it was reported that the name of the rape victim was said to be revealed as Jyoti Singh Pandey but later it was proven untrue. Can the unproven name be included in the article? 

Earlier it was reported the name of the rape victim was revealed on the request of her father but later it was reported that the father never gave permission nor revealed the name. Should this unproven or false name be included in the article?",0,0,0,0
"The puppet has been blocked, but the puppetmaster is still free, they will come back after the autoblock to cause more trouble.",0,0,0,0
"Ok - I understand - the unsourced part is the dates.  Is it considered unsourced if I copied the dates directly off another Wikipedia page (the Solomon and Jehoshaphat pages to be exact)?  This is why I included the Wikipedia links on their names.  Or do you guys not want circular thinking?  Either is fine, just trying to crack the nut.
  Ckruschke",0,0,0,0
"Jéské Couriano  is a stupid faggot!!!! 

Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!Jéské Couriano  is a stupid faggot!!!!",1,0,1,1
"By the way, I see you can't help but whine to others about how my words are affecting the last few brain cells you seem to have held on to. Fuckin' pussy.",1,0,0,0
"FUCK U ALL 

FUCK U ALL",1,0,1,0
"Dennis Bratland is a homophob british bastard who dislikes Germany, a typicial british asshole with homophob thinking. 188.96.228.73",1,0,1,1
Also bring back the brendle article you piece of shit.,1,0,1,0
""" Finally, there were some tags prompted immediate change.-(talk) """,0,0,0,0
"You dodged my request for libel about me to be removed. Furthermore, TPIRFanSteve has proven to be a stalker, and you are allowing it. I'd like another admin. to handle this as it appears you are not impartial to the situation.",0,0,0,0
". As you may have guessed, I have never done anything of this sort before",0,0,0,0
"also do not vandilise streets when you feel like it because Phillip Trueman is a homosexual.
.",1,0,0,1
Notre Dame just announced that Charlie Wies has been fired as the head coach of the Notre Dame football program. Somebody should probably edit the main Notre Dame Football page.,0,0,0,0
you are gay gay gay gay gay gay,1,0,1,1
"""
Did you read how the posts were worded?  And you can honestly state that those posts were """"worded neutrally"""" as is required by the guideline?  Really?????? """,0,0,0,0
"Fuck you, you piece of shit 

Fuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of sh",1,0,1,0
MUST BE A ASS BUDDY OF CRUISERFAGGOT,1,0,1,1
"Ya muthafuckers 

blocked You guys are dumbasses. You'd better be a bit more sane or you will face a lifelong sentence in an asylum. This is directed at Pikang.",1,0,1,0
"Of course, you dummy. Look at the politics of this horrible monster81.178.153.156",1,0,0,0
"WikiProject Novels 

Hi. You recently added WikiProject Books on the article Katy (book by Jacqueline Wilson). The article says this is actually a novel. Please add such articles to WikiProject Novels, which actually covers most fiction books.",0,0,0,0
"incorrect

he could not have directed any episode of alfred hitcock presents as it began airing in 1955 when thomas carter was 2 years old and stopped airing when he was 12 years old, so i will remove it from the television list.",0,0,0,0
"Yes, it doesn't seem the sort of community I will want to associate with for long.",0,0,0,0
"Unban this ip address or a new online encyclopedia will be formed that will kick wikipedia's ass. You have been warned

TEEECCCCCTOOOONIIIIIIIICCCCCC SHHHHHIIIIIIIIFFFFFFFFTTTTTTTT",1,1,1,0
JD IS A RAGING HOMOSEXUAL FAGGOT WHO SHOULD BE EATEN ALIVE BY A PACK OF RABID BABOONS.,1,1,1,1
"Thanks. Not so coincidentally, it's really hard to respond effectively without the ability to post on ANI, but the short version is that nothing has changed since the last time these very same editors tried to get rid of me. They just saw an opportunity after engineering the block.
As with Rocco's two-week marathon of persecution, we already know in advance that the Cloud will vote to get rid of me under any circumstances: it's their game and I'm a piece of the wrong color. So far, TFD has perjured himself shamelessly; not just the part where he denies that all of our sources recognize Geller as right-wing, but the whole false narrative woven out of random diffs that nobody thinks to check for themselves. I'd like to be able to say I'm surprised or disappointed, but this has happened too many times already.
It really comes down to whether the community has the will to oppose them. If not, then it gets what it deserves: more articles owned by the Cloud, fewer editors willing to contribute their free time. If we forcibly recused every member of the Cloud, the report against me would evaporate.   
P.S.
Let's see how this response gets misquoted against me.",0,0,0,0
"""

 RealDealBillMcNeill is a fool. 

According to everyone here, we are not fond of the way you handle the 2002–present page. Do you even watch the product? Many times including the WWE 2K14 video game distinguishes the respective eras. Those being Ruthless Aggression, Universe Era and literally last week as Triple H stated, Reality Era. My contributions are accurate and it's insulting how you have """"Brand Extension"""" as if that was the only history for 10 years. I categorized by eras and even added important information you left out, because you think you know better. You are an idiot and need to stop acting like you own this page. Now you've gone and snitched so I can't rightfully edit this page. You are a coward and an idiot.""",1,0,1,0
"""

 """"abstractionism"""" has to distinct meanings
 """"the principles or practice of creating abstract art""""
 """"the presentation of ideas in an abstract manner""""
 My impression from looking around is that there clearly needs to be an article abstraction (philosophy)
 http://www.philosophyideas.com/files/papers/Geach%20on%20Abstraction.pdf
 http://155.97.32.9/~phanna/classes/ling5981/autumn03/web/webnotes/8sept/node3.html
 http://www.calstatela.edu/faculty/tbettch/458HandoutTwo.htm
 http://www.authorama.com/meaning-of-truth-14.html
 I'm too tired right now to ferret out what should be here exactly, but barring further sources for that definition, there seems to be no justification for a full article. The dictionary definitions need to be reachable from here, and there need to be pointers to the relevant articles/sections in art and philosophy. The existing content must be preserved in the appropriate place.
   """,0,0,0,0
"==Abuse== 

And you Saxifrage would do well to explain why my msg is incivil and the one it is a comment to is not. I have removed your comment as I beleive yours is far more incivil than mine.",0,0,0,0
"Origins of the myth 

The section suggesting that the myth originated via the constellations should, I think, be deleted.  Besides being an over-simplification of the complexities of mythology, it is wrong.  Astrology, though which mythological significance might be applied to the stars, did not arrive in Greece until the 4th c. BC, hundreds of years after the principle formation of the myth.  Therefore, the constellations could not have been the foundation of the myth, but are instead an aftereffect of it, a novel way of using the myth at a later time.MS",0,0,0,0
"hey 

way to support nazis, you racist",1,0,0,1
"The Israelis are committing massacres in Gaza, but nobody listens. There is even no photos which exposes those who permitted these massacres.",0,0,0,1
Let's see where should I start deleting this non-referenced statements...,0,0,0,0
"""This message is regarding the article Hiroshima. Please stop removing content from Wikipedia that people have worked hard to create. It is considered vandalism. If you want to experiment, please use the sandbox. Thank you.  [ contribs • block • [ block log] ]   (talk) """,0,0,0,0
"The UK Flag Registry seems to have some authority in the area of British flags; for example they designed the national flag for Tristan da Cunha (a British territory). I'm not sure which colour is the right one, I made the background white on the original one by using crwflags.com as a source before coming across the professional looking UK Flag Registry. -",0,0,0,0
Can someone update the episode guide? We have summaries at tv.com plus MTV episodes so its really easy.Rocky,0,0,0,0
"So Dave, Given that the fizzling debate has fizzled out over the last few days, can we get some agreement on adding a sentence or two on the fact that modern Scots, far from being a corruption of modern english, is actually a descendant of middle english, and as such retains closer links to its past (in terms of its vocabulary and pronunciation) than its more modern cousin ?",0,0,0,0
"Formal warning 

I just want to repeat and amplify what I said on Talk:Gabriel because I know it's going to get drowned there. Your behavior on the talk page and in the article is becoming increasingly disruptive, obstructive, and meets the criteria of WP:IDHT quite handily. So if you continue operating against consensus there, I will be forced to request sanctions from administrators to preserve the integrity of this and other articles. I and the other editors involved would appreciate it if you slow down, take a few deep breaths, and consider our opinions. I would also make the friendly suggestion that you limit yourself to short sentences and paragraphs, especially on the talk page; all of us have limited time to devote to Wikipedia as a volunteer activity, and our time is not well served by WP:Walls of text that we have to comb through in order to find some meaning within. Thank you very much for your consideration.",0,0,0,0
"Negroid 

Hey nigger lover why did you revert my contribution to the article negroid. I have restored it. Lay off the nigger cock you faggot.

Thanks68.118.202.49",1,0,1,1
"FUCKING FAGGOT 

LOLWAT.",1,0,1,0
"Your general suckitude 

Get your cock out of your mouth and ban me. I can't believe you haven't realised all the awful things I have done to your Wikipedia. Why am I telling you this? Good question. Maybe I have problems.",1,0,1,0
"If you have enough brains to look at the edits before and after that, you will see some fool just like yourself was falsely changin klr to klt which again others had corrected, again it was over resurrection having ads that the community split over. how many people does it take and how much proof before you get it?
last time, community split over kazaa lite resurrection having ads in it, klt has never had ads, there has never been allegations of klt having ads, nor has there been any proof, changing klr to klt changes the whole dynamic of the discussion.",1,0,0,0
You gotta love when they send a noted racist anti-Semite to do this kinda crap.,1,0,1,1
"There was NEVER a debate in the Church about the Deity of Jesus except by a handful of misguided cultists. The first verse in John's Gospel answers any question of the so-called debate. IN THE BEGINNING WAS THE WORD AND THE WORD WAS GOD. Even a rock can understand that John is saying the LOGOS (the Word) WAS GOD. Who is the LOGOS - JESUS THE LOGOS BECOME FLESH. If that isn't enough then just look at Hebrews 1:8 But about the Son he (God) says, Your throne O GOD In other words God himself calls the Son, Jesus GOD. Case Closed End of Debate. Now for the 4 Gospels. There were always 4 and only 4 Gospels. Matthew (Lion), Mark (Lamb), Luke (Man) & John (Eagle) based on the four faces of the Cherubim before God (Ezek 1:4-14). So simple yet so hard when some chose to read Dan Brown & History Chanel fiction as if it were fact.69.14.96.9",0,0,0,0
"Please stop. If you continue to ignore our policies by introducing inappropriate pages to Wikipedia, you will be blocked.",0,1,0,0
"Hi, likewise. We need as many South Africans as possible on this place to ensure our lovely country doesn't get under-represented or worse, misrepresented. One extreme example is how the article on Apartheid became another Israel-Palestine conflict page, virtually ignoring what Apartheid really was, a South African system, and part of our history. 
So, yep, it's great to see another South African on Wikipedia!
 19:25, 23 Jul 2004 (UTC)",0,0,0,0
"Come on, unblock me, idiot! I am telling the truth!",1,0,1,0
I hate you. U are a homosapian. Breasts,1,0,1,1
"Familicide==
I just created a new page on Familicide but it quickly became a candidate for speedy deletion due to its limited, dictionary-definition content.  It is my wish that the psychology and crime scholars among you help me expand the article's content so that it will no longer be considered beneath Wikipedia standards.  Thank you.  

==",0,0,0,0
"you're so idi.o.t, so st.u.p.id guy, fu.c.k.i.n.g portuguese, i ha.te the portugueses",1,0,1,1
"You peice of irish scum 

How dare you talk shit about my country? Fuck you, stupid shamrock bitch, I hope the next genocide we serve on you wipes your entire disgusting, repulsive race out. Fucking micks, you shouldn't even be alive after the first attempts, hopefully next time you wont be. Die. 92.24.85.159",1,1,1,0
"Agreed, many a conversation with editors who insist on listing anything like a weblog or timeline chronology. DEFINATELY needs a clean up, where to begin then? (i suggested a wait till this is off, ITN, though its been 2 days without an update meaning itll be longer before this slip down from #2 to get off)",0,0,0,0
"""

 Bank of America Anonymous 

Anonymous

On March 14, 2011, one or more members of the decentralized collective Anonymous began releasing emails it said were obtained from Bank of America. According to the group (along with recent federal investigations by State Attorneys General, the New York Department of Finance, and the Consumer Financial Protection Bureau)  the emails document """"corruption and fraud"""" relating to the issue of """"large scale and repeated"""" force placed insurance abuse accelerating home foreclosures and automobile repossessions nationwide.  The source, identified publicly as Brian Penny, is a former LPI Specialist from Balboa Insurance, a firm which used to be owned by the bank, but was sold to Australian Reinsurance Company QBE, who subsequently branded the company QBE First in 2011  in order for the bank to obtain the funds necessary to pay back their Federal loans.  

I would like to understand what why this article revision, which provides verifiable, cited, and thoroughly researched article continues being removed when it is cited thoroughly. Thank you kindly,   """,0,0,0,0
YOUR A FUCKING FAGGOT YOU INTERNET THUG GET OFF FEDERLINES NUTS,1,0,1,1
Please put the gay jokes back on the queer page,1,0,0,0
"CambridgeBayWeather, I fucked your mama, man 

lick a dick, shithead",1,0,1,0
".why did he laugh at my block did he think it was funny? i guess he wasnt my friend just some guy that liked to laugh at me behind my back. those guys the terrible four[ i am not saying thier names] just plain humiliated me,god it makes me mad but i cant do a damm thing about it so guys if you know that i am taking about you then plese laugh at me because my pride has been shredded",0,0,0,0
"How about this? Instead, block Kinu for being such a Nazi and blocking me for no damn reason what-so-fucking-ever!!! 71.64.6.46",1,0,1,1
"THIS IS AWFUL, JUST AWFUL!!! ALL GERMANS ARE MURDERERS THE BLOOD OF 7 MILLION JEWS IS ON YOUR HANDS 7 MILLION GODS CHOSEN FOLK YOU ARE ALL GOING TO HELL BYE BYE DUMKOPFS!!!!",1,0,1,1
"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",1,1,1,1
"I reverted your edits again. They *have* been listed in that section for MONTHS, way before you even knew what wikipedia was. Removing them now because you don't agree is probably not a good idea. timecop",0,0,0,0
This page was created using Rendille-Boni languages as a model. (  ),0,0,0,0
